frontier_seq,candidate_count,actual_node_id,actual_next_use,belady_node_id,belady_next_use,actual_block_count,belady_block_count,same_choice
498,34,3,,3,,1,1,True
500,34,2,,2,,12,12,True
502,33,39,,39,,1,1,True
524,37,4,,4,,140,140,True
526,36,40,,40,,1,1,True
528,36,5,,5,,141,141,True
574,38,41,,41,,1,1,True
576,38,11,,11,,141,141,True
585,37,42,,42,,1,1,True
587,37,14,,14,,12,12,True
589,36,43,,43,,1,1,True
591,36,44,,44,,1,1,True
593,36,28,,28,,12,12,True
595,35,45,,45,,1,1,True
597,35,32,,32,,12,12,True
599,34,47,,47,,1,1,True
601,34,17,,17,,12,12,True
603,34,22,,22,,81,81,True
605,34,12,,12,,48,48,True
628,33,48,,48,,1,1,True
630,33,23,,23,,5,5,True
632,33,19,,19,,7,7,True
634,32,49,,49,,1,1,True
636,32,7,,7,,140,140,True
638,31,50,,50,,1,1,True
640,31,20,,20,,119,119,True
657,31,16,,16,,21,21,True
659,30,51,,51,,1,1,True
661,30,31,,31,,70,70,True
663,30,25,,25,,70,70,True
713,35,52,,52,,1,1,True
715,35,33,,33,,140,140,True
717,34,53,,53,,1,1,True
719,34,10,,10,,25,25,True
730,34,6,,6,,115,115,True
732,33,54,,54,,1,1,True
734,33,13,,13,,52,52,True
736,33,8,,8,,88,88,True
738,32,18,,18,,141,141,True
771,31,55,,55,,1,1,True
773,31,24,,24,,140,140,True
775,30,56,,56,,1,1,True
777,30,27,,27,,31,31,True
779,30,21,,21,,109,109,True
806,29,57,,57,,1,1,True
808,29,29,,29,,140,140,True
810,28,58,,58,,1,1,True
812,28,34,,34,,109,109,True
829,28,30,,30,,31,31,True
831,27,59,,59,,1,1,True
833,27,35,,35,,140,140,True
868,26,36,,36,,141,141,True
870,25,60,,60,,1,1,True
872,25,37,,37,,140,140,True
888,24,38,,38,,141,141,True
890,23,61,,61,,1,1,True
892,23,73,,73,,1,1,True
894,23,64,,64,,12,12,True
896,22,74,,74,,1,1,True
898,22,66,,66,,12,12,True
900,21,76,,76,,1,1,True
902,21,62,,62,,140,140,True
945,20,77,,77,,1,1,True
947,20,67,,67,,140,140,True
949,19,69,,69,,141,141,True
971,18,78,,78,,1,1,True
973,18,70,,70,,25,25,True
975,18,68,,68,,115,115,True
977,17,71,,71,,141,141,True
994,16,79,,79,,1,1,True
996,16,72,,72,,12,12,True
998,16,65,,65,,15,15,True
1000,16,63,,63,,114,114,True
1017,15,83,,83,,1,1,True
1019,15,75,,75,,140,140,True
1021,14,84,,84,,1,1,True
1048,14,81,,81,,12,12,True
1050,13,85,,85,,1,1,True
1052,13,80,,80,,140,140,True
1097,14,86,,86,,1,1,True
1099,14,82,,82,,12,12,True
1101,14,26,,26,,129,129,True
1112,14,15,,15,,12,12,True
1114,13,91,,91,,1,1,True
1116,13,88,,88,,12,12,True
1118,12,92,,92,,1,1,True
1120,12,87,,87,,140,140,True
1193,36,93,,93,,1,1,True
1195,36,90,,90,,12,12,True
1197,35,46,,46,,12,12,True
1199,34,101,,101,,1,1,True
1201,34,94,,94,,140,140,True
1224,35,102,,102,,1,1,True
1226,35,103,,103,,1,1,True
1228,35,99,,99,,12,12,True
1247,37,104,,104,,1,1,True
1249,37,105,,105,,1,1,True
1251,37,96,,96,,140,140,True
1261,37,106,,106,,1,1,True
1263,37,98,,98,,140,140,True
1265,36,100,,100,,12,12,True
1274,35,95,,95,,12,12,True
1276,34,144,,144,,1,1,True
1278,34,107,,107,,12,12,True
1280,33,145,,145,,1,1,True
1282,33,108,,108,,12,12,True
1284,32,147,,147,,1,1,True
1286,32,109,,109,,141,141,True
1295,31,149,,149,,1,1,True
1297,31,121,,121,,12,12,True
1299,31,89,,89,,129,129,True
1310,30,150,,150,,1,1,True
1312,30,125,,125,,12,12,True
1314,29,151,,151,,1,1,True
1316,29,128,,128,,12,12,True
1318,29,127,,127,,15,15,True
1320,29,124,,124,,114,114,True
1322,28,153,,153,,1,1,True
1324,28,141,,141,,12,12,True
1326,27,154,,154,,1,1,True
1328,27,142,,142,,12,12,True
1330,27,9,,9,,129,129,True
1354,27,155,,155,,1,1,True
1356,27,122,,122,,12,12,True
1358,27,116,,116,,129,129,True
1367,26,156,,156,,1,1,True
1369,26,143,,143,,141,141,True
